	FP1	FP2	FP3	FP4	FP5	FP6	FP7	FP8	FP9	FP10	FP11	FP12	FP13	FP14	FP15	FP16	FP17	FP18	FP19	FP20	FP21	FP22	FP23	FP24	FP25	FP26	FP27	FP28	FP29	FP30	FP31	FP32	FP33	FP34	FP35	FP36	FP37	FP38	FP39	FP40	FP41	FP42	FP43	FP44	FP45	FP46	FP47	FP48	FP49	FP50	FP51	FP52	FP53	FP54	FP55	FP56	FP57	FP58	FP59	FP60	FP61	FP62	FP63	FP64	FP65	FP66	FP67	FP68	FP69	FP70	FP71	FP72	FP73	FP74	FP75	FP76	FP77	FP78	FP79	FP80	FP81	FP82	FP83	FP84	FP85	FP86	FP87	FP88	FP89	FP90	FP91	FP92	FP93	FP94	FP95	FP96	FP97	FP98	FP99	FP100	FP101	FP102	FP103	FP104	FP105	FP106	FP107	FP108	FP109	FP110	FP111	FP112	FP113	FP114	FP115	FP116	FP117	FP118	FP119	FP120	FP121	FP122	FP123	FP124	FP125	FP126	FP127	FP128	FP129	FP130	FP131	FP132	FP133	FP134	FP135	FP136	FP137	FP138	FP139	FP140	FP141	FP142	FP143	FP144	FP145	FP146	FP147	FP148	FP149	FP150	FP151	FP152	FP153	FP154	FP155	FP156	FP157	FP158	FP159	FP160	FP161	FP162	FP163	FP164	FP165	FP166	toxicity_label
melphalan	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	1	1	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1
dextroamphetamine	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
guanabenz	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1	1	1	0	1	0	0
dihydralazine	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	1	0	1	0	1
lactulose	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	0	0	1	0	0	1	0	0	0	1	0	1	1	0	1	0	1	0	1	0	0	0	1	1	1	1	1
nelfinavir	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	1	1	0	1	0	1	1	1	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	1	1	1	0	0	0	1	1	0	0	1	1	0	0	1	0	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
succinate	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	1	0
gemfibrozil	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0	0
somatostatin	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	1	1	1	1	1	0	0	1	1	1	0	0	1	0	0	0	1	1	0	0	1	1	1	1	1	0	0	0	0	1	1	0	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
biperiden	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	1	0	1	1	0	0	1	1	1	1	1	0	1
tranylcypromine	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1	1	1	0	1	1	1
methscopolamine	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	1	0	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
iloperidone	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	1	0	1	1	1	0	1	0	1	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	1	1	1	0	1	1	1	1	1	1	0	0	1	0	1	0	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
eletriptan	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	1	0	0	1	1	0	1	0	1	1	1	0	1	1	0	0	1	1	1	0	1	0	0	0	1	1	1	0	0	0	1	0	0	1	0	1	1	0	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0
bupropion	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1	0	1	0	1	1	1	1	1	1	0	1
trimethoprim	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	0	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
vidarabine	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	1	1	1	0	1	0	1	0	1	1	0	1	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	0
clidinium	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	1	1	1	0	1	1	1	0	1	0	0	1	0	1	0	0	1	1	1	0	0	0	1	0	1	1	1	1	0	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0
pentamidine	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1
busulfan	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	1	1	0	0	0	1	0	1	0	1	0	1	1	0	0	0	1	0	0	0
famotidine	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1	0	1	1	0	0	1	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	1	1	1	0	1	0	1	1	1	1	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1
mecysteine	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0
milnacipran	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1
indocyanine_green	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1	1	0	1	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	1	1	0	1	0	1	1	1	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0
pristinamycin	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	0	0	1	1	0	0	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
durapatite	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0
adenosine_triphosphate	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	0	0	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	0	0	0	1	0	0	1	1	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	1	0	1	0	1	1	0	0	1	1	1	1	0	1	1	1	0	1	1	0	1	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0
decitabine	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	1	1	1	1	0	0	0	0	1	0	1	1	1	1	0	0	0	0	1	1	1	0	1	1	1	0	0	0	1	0	1	1	0	1	1	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1
ciclesonide	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	1	1	0	0	1	0	0	1	1	0	1	0	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	0	1	1	0	1	1	1	0	1	0	1	1	1	0	1	1	0	1	1	1	1	0	1	0	1	1	0	0	1	1	1	0	0
pimecrolimus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	1	0	1	0	1	1	1	1	0	0	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1
meprednisone	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	1	0	0	1	1	1	0	1	0	1	1	1	0	1	1	0	1	1	1	1	0	1	0	1	1	0	0	1	1	1	0	1
tyramine	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	1	0	1	0	1	1	0	0	1	1	1	1	1	0	0
calcium_glycerophosphate	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	1	0	1	0
glutamate	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	1	0	1	0	0	1	0	1	0
alfuzosin	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	0	1	1	1	1	0	1	0	0	0	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
pridinol	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	1	0	1	1	0	0	1	1	1	1	1	0	0
lithium_citrate	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	0	1	0	1	1
etretinate	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	1	0	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0	1
almotriptan	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1	0	1	1	1	0	1	0	0	0	1	1	1	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	1	1	1	0	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1
